name,abbreviation,mascot,espn_team_page,logo
New Mexico State,NMST,Aggies,http://espn.go.com/college-football/team/_/id/166/new-mexico-state-aggies,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/166.gif
North Carolina,UNC,Tar Heels,http://espn.go.com/college-football/team/_/id/153/north-carolina-tar-heels,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/153.gif
North Carolina State,NCSU,Wolfpack,http://espn.go.com/college-football/team/_/id/152/north-carolina-state-wolfpack,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/152.gif
North Texas,NTEX,Mean Green,http://espn.go.com/college-football/team/_/id/249/north-texas-mean-green,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/249.gif
Northern Illinois,NILL,Huskies,http://espn.go.com/college-football/team/_/id/2459/northern-illinois-huskies,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2459.gif
Northwestern,NW,Wildcats,http://espn.go.com/college-football/team/_/id/77/northwestern-wildcats,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/77.gif
Notre Dame,ND,Fighting Irish,http://espn.go.com/college-football/team/_/id/87/notre-dame-fighting-irish,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/87.gif
Ohio,OHIO,Bobcats,http://espn.go.com/college-football/team/_/id/195/ohio-bobcats,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/195.gif
Ohio State,OSU,Buckeyes,http://espn.go.com/college-football/team/_/id/194/ohio-state-buckeyes,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/194.gif
Oklahoma,OU,Sooners,http://espn.go.com/college-football/team/_/id/201/oklahoma-sooners,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/201.gif
Oklahoma State,OSU,Cowboys,http://espn.go.com/college-football/team/_/id/197/oklahoma-state-cowboys,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/197.gif
Ole Miss,MISS,Rebels,http://espn.go.com/college-football/team/_/id/145/ole-miss-rebels,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/145.gif
Oregon,ORE,Ducks,http://espn.go.com/college-football/team/_/id/2483/oregon-ducks,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2483.gif
Oregon State,ORST,Beavers,http://espn.go.com/college-football/team/_/id/204/oregon-state-beavers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/204.gif
Penn State,PSU,Quakers,http://espn.go.com/college-football/team/_/id/213/penn-state-nittany-lions,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/213.gif
Pittsburgh,PITT,Panthers,http://espn.go.com/college-football/team/_/id/221/pittsburgh-panthers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/221.gif
Purdue,PUR,Boilermakers,http://espn.go.com/college-football/team/_/id/2509/purdue-boilermakers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2509.gif
Rice,RICE,Owls,http://espn.go.com/college-football/team/_/id/242/rice-owls,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/242.gif
Rutgers,RUTG,Scarlet Knights,http://espn.go.com/college-football/team/_/id/164/rutgers-scarlet-knights,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/164.gif
San Diego State,SDSU,Aztecs,http://espn.go.com/college-football/team/_/id/21/san-diego-state-aztecs,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/21.gif
San Jose State,SJST,Spartans,http://espn.go.com/college-football/team/_/id/23/san-jose-state-spartans,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/23.gif
South Carolina,USCE,Gamecocks,http://espn.go.com/college-football/team/_/id/2579/south-carolina-gamecocks,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2579.gif
South Florida,USF,Bulls,http://espn.go.com/college-football/team/_/id/58/south-florida-bulls,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/58.gif
Southern California,USC,Trojans,http://espn.go.com/college-football/team/_/id/30/usc-trojans,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/30.gif
Southern Methodist,SMET,Mustangs,http://espn.go.com/college-football/team/_/id/2567/southern-methodist-mustangs,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2567.gif
Southern Miss,SMIS,Golden Eagles,http://espn.go.com/college-football/team/_/id/2572/southern-miss-golden-eagles,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2572.gif
Stanford,STAN,Cardinal,http://espn.go.com/college-football/team/_/id/24/stanford-cardinal,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/24.gif
Syracuse,SYR,Orangemen,http://espn.go.com/college-football/team/_/id/183/syracuse-orange,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/183.gif
Texas Christian,TCU,Horded Frogs,http://espn.go.com/college-football/team/_/id/2628/tcu-horned-frogs,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2628.gif
